"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.445480230E2,6.149865871E1,2.309758440E1,8.507373814E1,5.126334356E-1,1.646731294E2,4.728391405E0,3.386274022E0
1.455480270E2,6.149865321E1,2.309758429E1,8.502910797E1,4.227668907E-1,1.689573335E2,4.724635771E0,3.391512032E0
1.465480289E2,6.149865308E1,2.309759520E1,8.499934646E1,2.461549955E-1,1.667855573E2,4.725636691E0,3.390117240E0
1.475480316E2,6.149865447E1,2.309761269E1,8.481747206E1,3.805036299E-1,1.667855731E2,4.730240783E0,3.383690170E0
1.485480294E2,6.149865454E1,2.309763644E1,8.486134738E1,6.357041930E-1,1.114154899E2,4.731491573E0,3.381940941E0
1.495480286E2,6.149865568E1,2.309764556E1,8.473002405E1,4.760085527E-1,9.347372149E1,4.729285682E0,3.385024959E0
1.505480276E2,6.149865571E1,2.309764581E1,8.458220049E1,2.179520035E-1,9.207829611E1,4.726138426E0,3.389417739E0
1.515480258E2,6.149865615E1,2.309764079E1,8.440588113E1,1.704247856E-1,9.207829168E1,4.727696924E0,3.387243545E0
1.525480250E2,6.149866482E1,2.309764053E1,8.473647288E1,6.071560517E-1,2.848781106E1,4.727413127E0,3.387639615E0
1.535480239E2,6.149865740E1,2.309762208E1,8.568266139E1,5.127102494E-1,NaN,4.727368400E0,3.387702029E0
1.545480232E2,6.149865207E1,2.309762195E1,8.540625789E1,0.000000000E0,3.070998962E2,4.719286487E0,3.398951616E0
