"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.874605500E0,6.173380651E-4,-3.321218491E-1,-4.840874755E-1
5.894587500E0,2.900679797E-1,1.533486392E-1,-1.345578808E0
5.914569500E0,7.289014048E-1,5.456837994E-1,-1.990182878E0
5.934551500E0,7.637539530E-1,8.484549648E-1,-1.979322259E0
5.954533500E0,3.285069542E-1,7.233543706E-1,-1.961240914E0
5.974515500E0,-2.163368927E-1,4.893891460E-1,-1.665755965E0
5.994497500E0,-6.346810529E-1,3.775270866E-1,-1.720700496E0
6.014479500E0,-6.598851836E-1,4.860635421E-1,-1.968555197E0
6.034461500E0,-6.087257377E-1,6.638941808E-1,-1.940427166E0
6.054444500E0,-3.574900307E-1,1.020155529E0,-1.409707561E0
6.074426500E0,-1.290998339E-1,1.224126876E0,-7.831070673E-1
6.094408500E0,1.424481867E-1,1.421713356E0,-7.785743058E-2
6.114390500E0,5.157338857E-1,1.742364576E0,6.896422487E-1
6.134372500E0,4.683514488E-1,1.946569373E0,1.257010447E0
6.154354500E0,4.421703580E-1,2.126433966E0,1.479672419E0
6.174336500E0,3.862550792E-1,2.555910932E0,2.201831619E0
6.194318500E0,4.901732941E-1,2.999904635E0,2.552840559E0
6.214300500E0,1.063453868E0,2.702605879E0,2.278647076E0
6.234283500E0,1.175251755E0,1.412815648E0,2.601215159E0
6.254265500E0,8.239907261E-1,-1.048624891E0,3.588149732E0
6.274247500E0,-2.016286603E-1,-3.038369374E0,4.564823611E0
6.294229500E0,-6.047203949E-1,-4.274703482E0,3.801342723E0
6.314211500E0,-1.431379754E-1,-4.306622263E0,1.995810823E0
6.334193500E0,3.025423200E-1,-3.640577330E0,4.492708147E-1
6.354175500E0,2.966189078E-1,-2.698388574E0,-8.910267878E-1
6.374157500E0,2.725390505E-1,-1.580186349E0,-1.650318146E0
6.394139500E0,6.892412759E-1,-2.982553607E-1,-1.680746471E0
6.414122500E0,1.241024306E0,6.985887811E-1,-1.610417331E0
6.434104500E0,1.504506421E0,1.196917443E0,-8.869471854E-1
6.454086500E0,1.180023375E0,9.712697361E-1,-3.253694844E-1
6.474068500E0,5.702414473E-1,4.659897584E-1,-1.593845737E-1
6.494050500E0,4.597556032E-4,8.149118274E-3,-2.577277243E-1
6.514032500E0,-2.027708773E-1,-1.742791861E-1,-6.177179879E-1
6.534014500E0,-2.405581065E-1,-2.283347945E-1,-1.167760302E0
6.553996500E0,-3.998481745E-1,-2.435550968E-1,-1.731685075E0
6.573979500E0,-5.148395175E-1,-2.120716412E-1,-2.428369126E0
6.593961500E0,-3.658754130E-1,-3.434888363E-2,-3.046553137E0
6.613943500E0,-8.799536962E-2,3.185285345E-1,-3.547978776E0
6.633925500E0,-3.975284379E-3,7.209029254E-1,-3.229890829E0
6.653907500E0,1.367893062E-1,1.155609788E0,-2.352997931E0
6.673889500E0,2.326644201E-1,1.610668761E0,-1.369102156E0
6.693871500E0,4.167575547E-2,1.787946399E0,-5.287882698E-1
6.713853500E0,-3.590502506E-1,1.893416137E0,4.771544319E-1
6.733836500E0,-5.679125744E-1,1.959513355E0,1.038057364E0
6.753818500E0,-5.659123516E-1,1.886361178E0,1.560383876E0
6.773800500E0,-1.017169502E0,1.630530876E0,2.510126064E0
6.793782500E0,-1.638708499E0,1.622711979E0,2.244968283E0
6.813764500E0,-1.290136093E0,1.479374504E0,1.398778530E0
6.833746500E0,-5.331359670E-1,8.767294684E-1,1.484251374E0
6.853728500E0,-2.742332447E-1,-5.121950412E-1,2.158927674E0
6.873711500E0,-7.990022846E-2,-1.813527383E0,2.628604687E0
6.893693500E0,-2.237073811E-1,-2.212658324E0,2.158398501E0
6.913675500E0,-8.090134487E-1,-2.014283054E0,5.957020515E-1
6.933657500E0,-1.566093244E0,-1.502440892E0,-8.544050914E-1
6.953639500E0,-2.164869615E0,-8.061924595E-1,-1.658119501E0
6.973621500E0,-2.037818974E0,-6.163579255E-1,-1.321058509E0
6.993603500E0,-1.215707105E0,-7.174045363E-1,-3.327884316E-1
7.013586500E0,-2.681379609E-1,-8.924397674E-1,3.915775073E-1
7.033568500E0,-3.967604792E-1,-1.000845099E0,5.113933879E-1
7.053550500E0,-6.964457765E-1,-1.035435327E0,-1.816665584E-1
7.073532500E0,-4.145496096E-1,-8.407807866E-1,-8.771805811E-1
7.093514500E0,-4.970981151E-2,-5.935365352E-1,-1.543418180E0
7.113496500E0,2.310079953E-1,-3.730824718E-1,-1.973936974E0
7.133478500E0,-6.374473706E-2,-3.588991731E-1,-2.125523116E0
7.153461500E0,-5.958317135E-1,-3.967663264E-1,-2.198405151E0
7.173443500E0,-8.998523558E-1,9.516051114E-3,-2.654844652E0
7.193425500E0,-4.933186942E-1,5.807881433E-1,-3.197399606E0
7.213407500E0,7.626815736E-3,8.968520764E-1,-2.251146451E0
7.233389500E0,-1.785140321E-1,7.134319380E-1,-5.222925979E-1
7.253371500E0,-2.347256550E-1,6.372997284E-1,1.290241343E0
7.273353500E0,-1.503579345E-1,8.779886663E-1,1.584343427E0
7.293336500E0,1.716844842E-2,1.569931794E0,1.492836256E0
7.313318500E0,-1.348935840E-1,1.902997676E0,1.663183190E0
7.333300500E0,-3.594620042E-1,1.946752099E0,1.974626945E0
7.353282500E0,-5.744777551E-1,1.958743276E0,2.298544566E0
7.373264500E0,-8.205077590E-1,2.194792449E0,2.395801889E0
7.393246500E0,1.186582050E-1,1.559845347E0,1.835799428E0
7.413229500E0,9.745169874E-1,3.073474887E-1,2.359866071E0
7.433211500E0,7.630657357E-1,-1.884196539E0,3.494364486E0
7.453193500E0,2.094719692E-1,-3.565599945E0,3.792956062E0
